DATE,steps,weight_kg,total_burned_kcal,calories_eaten,active_kcal,basal_kcal
2024-03-26,7225.0,,4952.578999999999,,623.6809999999997,4328.897999999999
2024-03-27,6924.0,,4704.738999999999,,642.2239999999999,4062.514999999999
2024-03-28,18769.0,,5488.687,,1224.252,4264.435
2024-03-29,20844.0,,5605.883999999997,,1364.424,4241.459999999997
2024-03-30,29871.0,,5223.124999999995,,1026.345,4196.779999999995
2024-03-31,5404.0,,6392.2639999999965,,376.22700000000015,6016.036999999997
2024-04-01,18136.0,,4849.667999999998,,690.223,4159.444999999998
2024-04-02,10647.0,,4573.160999999999,,501.5130000000002,4071.6479999999992
2024-04-03,15364.0,,5171.137,,1064.769,4106.368
2024-04-04,9163.0,,4914.271000000002,,849.943,4064.328000000002
2024-04-05,8016.0,,4721.929000000001,,695.53,4026.399000000001
2024-04-06,32136.0,,5186.809000000005,,934.1660000000004,4252.643000000005
2024-04-07,36525.0,,5187.454999999992,,965.3779999999994,4222.076999999992
2024-04-08,35367.0,,5335.195999999993,,1059.9989999999998,4275.196999999993
2024-04-09,16966.0,,4795.005999999999,,566.182,4228.824
2024-04-10,22050.0,,4852.208999999999,,700.036,4152.172999999999
2024-04-11,16539.0,,4913.830000000001,,698.7610000000003,4215.069
2024-04-12,19509.0,,4569.984,,529.3109999999999,4040.673
2024-04-13,14092.0,,4502.738,,438.6979999999999,4064.04
2024-04-14,29915.0,,4840.836000000005,,758.2040000000009,4082.632000000004
2024-04-15,26134.0,,5496.680999999999,,1394.5679999999998,4102.112999999999
2024-04-16,6447.0,,4024.815,,89.836,3934.979
2024-04-17,29865.0,,4832.304999999993,,700.7279999999997,4131.576999999993
2024-04-18,21967.0,,4792.217999999999,,643.9109999999998,4148.306999999999
2024-04-19,32058.0,,4959.527999999996,,786.1149999999998,4173.412999999996
2024-04-20,26106.0,,4897.829999999996,,732.9150000000004,4164.914999999995
2024-04-21,34066.0,,4921.252000000004,,752.9179999999997,4168.334000000004
2024-04-22,12019.0,,4282.467,,310.00100000000003,3972.466
2024-04-23,23904.0,,5093.141000000003,,999.091,4094.050000000003
2024-04-24,30055.0,,4668.734,,586.261,4082.473
2024-04-25,12003.0,,4365.428,,337.7,4027.728
2024-04-26,31074.0,,5412.620000000002,,1312.2509999999995,4100.369000000002
2024-04-27,54844.0,,6210.716999999996,,1921.9890000000005,4288.727999999996
2024-04-28,43835.0,,5335.989000000003,,1130.44,4205.549000000003
2024-04-29,8582.0,,3955.411,,38.363,3917.048
2024-04-30,23759.0,,4745.607999999987,,651.971,4093.636999999987
2024-05-01,20172.0,,5190.558000000001,,1053.7379999999998,4136.820000000001
2024-05-02,30785.0,,4783.333999999995,,719.9299999999994,4063.403999999995
2024-05-03,24124.0,,4941.1320000000005,,799.3519999999999,4141.780000000001
2024-05-04,19117.0,,4842.475999999999,,609.433,4233.042999999999
2024-05-05,30501.0,,2777.299000000001,,1015.872,1761.4270000000008
2024-05-06,28420.0,,5676.634000000001,,1721.367,3955.2670000000007
2024-05-07,7282.0,,3754.407999999998,,171.20399999999998,3583.203999999998
2024-05-08,15865.0,,4681.149999999998,,784.1159999999999,3897.0339999999983
2024-05-09,18927.0,,2618.2320000000004,,559.275,2058.9570000000003
2024-05-10,14682.0,,2724.5649999999982,,545.6170000000001,2178.947999999998
2024-05-11,22886.0,94.817,3114.5959999999995,,827.8249999999999,2286.771
2024-05-12,21752.0,94.745,2203.269,,841.2320000000001,1362.0369999999998
2024-05-13,816.0,95.556,575.274,,0.0,575.274
2024-05-14,13419.0,96.561,2374.168,,356.502,2017.666
2024-05-15,12885.0,96.29,1920.969,,345.59700000000004,1575.3719999999998
2024-05-16,1881.0,95.64,993.82,,172.0,821.82
2024-05-17,13016.0,95.237,3499.301422394148,,1371.3844223941512,2127.916999999997
2024-05-18,24435.0,93.701,4677.086959396811,,2382.802959396814,2294.2839999999965
2024-05-19,14242.0,93.978,3435.81270395075,,1757.5167039507562,1678.295999999994
2024-05-20,3242.0,94.031,95.344380396814,,95.344380396814,0.0
2024-05-21,1037.0,94.521,1261.429181191749,,28.699181191749,1232.73
2024-05-22,12752.0,95.04,1768.2822780958743,,815.2132780958746,953.0689999999998
2024-05-23,13171.0,95.705,1461.312915716396,,392.946915716396,1068.366
2024-05-24,30941.0,95.526,6222.669758447409,,3960.219758447415,2262.449999999993
2024-05-25,24017.0,95.213,5010.440688400002,,2845.221688400001,2165.2190000000005
2024-05-26,26551.0,91.971,4935.3877090000005,,2984.156709,1951.231
2024-05-27,21230.0,93.751,5034.747562999997,,2766.811563,2267.9359999999974
2024-05-28,44947.0,93.99,5586.759821572586,,3565.5488215725845,2021.2110000000007
2024-05-29,32428.0,95.723,6309.589610101199,,4663.4756101012,1646.1139999999982
2024-05-30,26974.0,92.999,4291.446879375506,,2288.8438793755085,2002.6029999999976
2024-05-31,29078.0,94.602,5353.8212492790535,,3182.636249279049,2171.185000000004
2024-06-01,22022.0,93.233,4147.944707135548,,2305.076707135547,1842.8680000000008
2024-06-02,16898.0,91.113,3237.677866,,2030.728866,1206.9489999999998
2024-06-03,29397.0,92.935,4149.841799248336,,2628.6337992483377,1521.2079999999987
2024-06-04,15386.0,95.101,4012.794098617024,,1666.0560986170235,2346.7380000000007
2024-06-05,25376.0,97.623,4373.644549908704,,2134.446549908707,2239.1979999999967
2024-06-06,23721.0,94.966,5541.815701269483,,3200.7397012694705,2341.0760000000123
2024-06-07,31486.0,92.925,6766.482470571994,,4722.150470571994,2044.332
2024-06-08,23594.0,91.289,4746.664538349552,,2921.134538349552,1825.53
2024-06-09,25656.0,90.205,3259.143723205946,,1088.1477232059449,2170.996000000001
2024-06-10,27523.0,92.613,4675.96206952516,,2489.225069525159,2186.7370000000005
2024-06-11,28005.0,94.058,4551.333610678816,,2259.256610678824,2292.076999999992
2024-06-12,6867.0,95.804,3030.7309681613456,,1053.4849681613453,1977.2460000000003
2024-06-13,25212.0,93.905,4803.378151086637,,2589.3051510866376,2214.073
2024-06-14,28517.0,90.009,6334.418410999999,,3970.465411,2363.952999999999
2024-06-15,35945.0,89.8,4638.4076222700205,,2418.150622270018,2220.2570000000014
2024-06-16,24312.0,89.351,3142.542871113029,,978.370871113024,2164.1720000000046
2024-06-17,13834.0,92.753,3736.4308451511897,,1581.131845151189,2155.2990000000004
2024-06-18,28564.0,94.423,3931.727972107933,,1872.1119721079328,2059.6160000000004
2024-06-19,34825.0,94.885,6459.4566691794425,,4285.685669179444,2173.7709999999984
2024-06-20,13485.0,92.369,1495.0635444591662,,688.5925444591657,806.4710000000007
2024-06-21,17919.0,90.197,3534.5678263958325,,1244.8448263958326,2289.723
2024-06-22,9975.0,88.97,2818.763233298213,,703.6332332982139,2115.13
2024-06-23,41694.0,88.481,5676.126911468507,,3542.143911468505,2133.983000000002
2024-06-24,9420.0,90.348,2318.8383265947487,,376.00032659474925,1942.8379999999995
2024-06-25,15807.0,89.916,2568.5903772318693,,774.3103772318659,1794.2800000000034
2024-06-26,1857.0,91.202,2.073192,,2.073192,0.0
2024-06-27,12371.0,91.223,1121.5508811130935,,174.738881113094,946.8119999999998
2024-06-28,21861.0,92.54,3812.907997234115,,1680.709997234116,2132.1979999999994
2024-06-29,16766.0,90.747,3049.609555236131,,912.3745552361302,2137.235000000001
2024-06-30,30366.0,88.683,5469.359884000001,,3315.606884,2153.753000000001
2024-07-01,22322.0,90.915,3066.770505080108,,1294.809505080107,1771.9610000000007
2024-07-02,1866.0,90.604,961.7043100000004,,9.04831,952.6560000000004
2024-07-03,17393.0,92.679,2843.1990000000023,,699.5089999999999,2143.6900000000023
2024-07-04,13029.0,94.292,1436.1249999999998,,333.395,1102.7299999999998
2024-07-05,17993.0,94.524,2929.311,,876.931,2052.38
2024-07-06,24780.0,93.355,1923.5019999999995,,591.7589999999997,1331.743
2024-07-07,40869.0,93.384,3850.525000000018,,1679.518999999999,2171.006000000018
2024-07-08,16315.0,92.825,2185.903,,740.3790000000001,1445.5239999999994
2024-07-09,11576.0,94.531,1744.3800000000008,,5.468,1738.9120000000007
2024-07-10,28525.0,95.331,2823.9830000000443,,755.1639999999998,2068.8190000000445
2024-07-11,11316.0,94.126,2624.9589999999994,,463.8519999999999,2161.1069999999995
2024-07-12,12456.0,,2562.483000000001,,428.4289999999998,2134.054000000001
2024-07-13,17942.0,,2872.207000000004,,633.7149999999999,2238.492000000004
2024-07-14,12712.0,,2716.4720000000043,,551.4219999999998,2165.0500000000043
2024-07-15,20950.0,,2910.8170000000023,,676.6420000000002,2234.175000000002
2024-07-16,29479.0,,2991.400000000005,,828.5249999999991,2162.875000000006
2024-07-17,23804.0,,2916.3390000000027,,731.288,2185.0510000000027
2024-07-18,20975.0,95.029,2802.7740000000003,,742.8559999999998,2059.9180000000006
2024-07-19,17669.0,94.735,2654.951,,658.245,1996.706
2024-07-20,18840.0,94.482,2659.3230000000035,,653.453,2005.8700000000035
2024-07-21,15928.0,95.733,1363.283,,413.086,950.197
2024-07-22,3877.0,95.64,0.038,,0.038,0.0
2024-07-23,1362.0,96.027,871.6069999999997,,0.0,871.6069999999997
2024-07-24,653.0,95.387,1030.3989999999997,,0.093,1030.3059999999996
2024-07-25,6883.0,95.324,713.1329999999998,,0.0,713.1329999999998
2024-07-26,18725.0,95.688,2392.634,,395.79400000000015,1996.84
2024-07-27,20361.0,96.159,1354.6420000000005,,375.525,979.1170000000004
2024-07-28,11216.0,96.224,2390.93,,990.636,1400.294
2024-07-29,3419.0,95.637,0.0,,0.0,0.0
2024-07-30,11870.0,96.168,0.0,,0.0,0.0
2024-07-31,8636.0,97.289,1238.3179999999998,,129.0,1109.3179999999998
2024-08-01,31155.0,95.962,3447.96500000001,,1439.46,2008.50500000001
2024-08-02,6932.0,97.349,2296.651,,258.097,2038.554
2024-08-03,23924.0,96.206,2315.7560000000003,,307.272,2008.484
2024-08-04,17758.0,97.568,2548.7179999999967,,595.915,1952.8029999999967
